2023-10-09 23:43:21,749 INFO    StreamThr :8923 [internal.py:wandb_internal():86] W&B internal server running at pid: 8923, started at: 2023-10-09 23:43:21.748194
2023-10-09 23:43:21,751 DEBUG   HandlerThread:8923 [handler.py:handle_request():146] handle_request: status
2023-10-09 23:43:21,755 INFO    WriterThread:8923 [datastore.py:open_for_write():85] open: /root/autodl-tmp/dragon/wandb/run-20231009_234321-2j7uvl1p/run-2j7uvl1p.wandb
2023-10-09 23:43:21,756 DEBUG   SenderThread:8923 [sender.py:send():380] send: header
2023-10-09 23:43:21,790 DEBUG   SenderThread:8923 [sender.py:send():380] send: run
2023-10-09 23:43:21,820 INFO    SenderThread:8923 [sender.py:_maybe_setup_resume():759] checking resume status for None/DRAGON/2j7uvl1p
2023-10-09 23:43:23,237 INFO    SenderThread:8923 [dir_watcher.py:__init__():211] watching files in: /root/autodl-tmp/dragon/wandb/run-20231009_234321-2j7uvl1p/files
2023-10-09 23:43:23,237 INFO    SenderThread:8923 [sender.py:_start_run_threads():1122] run started: 2j7uvl1p with start time 1696866201.747927
2023-10-09 23:43:23,258 DEBUG   HandlerThread:8923 [handler.py:handle_request():146] handle_request: check_version
2023-10-09 23:43:23,258 DEBUG   SenderThread:8923 [sender.py:send_request():407] send_request: check_version
2023-10-09 23:43:23,833 DEBUG   HandlerThread:8923 [handler.py:handle_request():146] handle_request: run_start
2023-10-09 23:43:23,844 DEBUG   HandlerThread:8923 [system_info.py:__init__():32] System info init
2023-10-09 23:43:23,844 DEBUG   HandlerThread:8923 [system_info.py:__init__():47] System info init done
2023-10-09 23:43:23,844 INFO    HandlerThread:8923 [system_monitor.py:start():194] Starting system monitor
2023-10-09 23:43:23,845 INFO    SystemMonitor:8923 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-10-09 23:43:23,845 INFO    HandlerThread:8923 [system_monitor.py:probe():214] Collecting system info
2023-10-09 23:43:23,846 INFO    SystemMonitor:8923 [interfaces.py:start():190] Started cpu monitoring
2023-10-09 23:43:23,847 INFO    SystemMonitor:8923 [interfaces.py:start():190] Started disk monitoring
2023-10-09 23:43:23,848 INFO    SystemMonitor:8923 [interfaces.py:start():190] Started gpu monitoring
2023-10-09 23:43:23,849 INFO    SystemMonitor:8923 [interfaces.py:start():190] Started memory monitoring
2023-10-09 23:43:23,850 INFO    SystemMonitor:8923 [interfaces.py:start():190] Started network monitoring
2023-10-09 23:43:23,918 DEBUG   HandlerThread:8923 [system_info.py:probe():196] Probing system
2023-10-09 23:43:23,926 DEBUG   HandlerThread:8923 [system_info.py:_probe_git():181] Probing git
2023-10-09 23:43:23,942 DEBUG   HandlerThread:8923 [system_info.py:_probe_git():189] Probing git done
2023-10-09 23:43:23,942 DEBUG   HandlerThread:8923 [system_info.py:probe():244] Probing system done
